,cpf,mercado,produto
74989,38405599878,Broa de Açúcar,banana
98173,33983357806,Plus,pera
63967,34608848860,Plus,uva
83055,33463222892,Broa de Açúcar,banana
77497,34620896845,Plus,maçã
44944,38760611804,Mes,maçã
97438,32300383802,Mes,banana
47315,39549708802,Plus,pera
9875,32206448807,Plus,uva
77497,34620896845,Plus,maçã
37978,35618351803,Mes,banana
4684,33110482886,Plus,banana
92362,32402738880,Mes,pera
30404,38118937852,Broa de Açúcar,banana
9595,39106522807,Plus,maçã
80832,32933350807,Plus,pera
44944,38760611804,Plus,banana
57588,38232115874,Plus,banana
32906,35914511852,Plus,pera
76057,37880918868,Plus,maçã
9239,38862226837,Plus,banana
4297,39179111831,Broa de Açúcar,maçã
41092,35535533831,Plus,maçã
69584,31366147804,Broa de Açúcar,uva
92369,31620324822,Broa de Açúcar,banana
97169,39878222870,Mes,banana
58775,30083792813,Broa de Açúcar,banana
87310,39092652865,Mes,maçã
9239,38862226837,Broa de Açúcar,pera
87805,38886668805,Plus,banana
48879,33635232890,Broa de Açúcar,maçã
37909,31784022845,Plus,pera
87310,39092652865,Mes,pera
88133,32324073820,Mes,maçã
87806,30060398825,Mes,uva
90282,39490165891,Mes,banana
74588,30228934850,Mes,banana
25376,38875632804,Mes,uva
57588,38232115874,Broa de Açúcar,banana
24898,38016404855,Plus,pera
74989,38405599878,Mes,maçã
92362,32402738880,Mes,maçã
52232,39956187828,Broa de Açúcar,maçã
15731,33887237889,Plus,pera
68168,34761282886,Plus,maçã
80832,32933350807,Plus,pera
4587,30617411867,Plus,maçã
52870,39248397867,Mes,uva
47497,34873296897,Mes,uva
70219,30328179868,Plus,pera
65299,31145103880,Plus,pera
92893,33793904881,Broa de Açúcar,maçã
80876,30061162833,Broa de Açúcar,pera
87806,30060398825,Plus,pera
4684,33110482886,Plus,pera
48879,33635232890,Broa de Açúcar,banana
70758,35378086825,Mes,pera
91336,33336928800,Broa de Açúcar,banana
26426,30478296835,Mes,maçã
70758,35378086825,Mes,maçã
50385,34177725838,Broa de Açúcar,pera
66319,31579980805,Mes,maçã
74989,38405599878,Mes,uva
84980,31914314891,Plus,pera
42951,34413526880,Mes,uva
47497,34873296897,Plus,uva
51152,32459989881,Broa de Açúcar,maçã
61445,33392946826,Broa de Açúcar,banana
47315,39549708802,Plus,banana
74989,38405599878,Mes,pera
68337,35745115823,Mes,banana
36817,31342477804,Broa de Açúcar,maçã
70219,30328179868,Mes,pera
32602,39080508802,Broa de Açúcar,pera
64248,36158702803,Broa de Açúcar,banana
61445,33392946826,Broa de Açúcar,uva
50385,34177725838,Mes,uva
43867,36366758859,Broa de Açúcar,maçã
4684,33110482886,Broa de Açúcar,maçã
95846,31695687876,Plus,uva
78147,33576161813,Broa de Açúcar,uva
25386,31590098820,Broa de Açúcar,banana
21002,35471853865,Broa de Açúcar,pera
58335,30892507802,Plus,banana
67919,32474360816,Plus,pera
41156,31795880805,Plus,pera
50385,34177725838,Broa de Açúcar,banana
78147,33576161813,Broa de Açúcar,maçã
36817,31342477804,Plus,uva
67883,37049136859,Mes,pera
89184,34414924804,Mes,uva
75607,33304169806,Mes,uva
79387,33717499831,Broa de Açúcar,maçã
95919,33446371850,Plus,uva
42870,36461999892,Plus,banana
80089,39656160800,Broa de Açúcar,maçã
67006,31771576855,Mes,pera
43118,30955837880,Mes,uva
69584,31366147804,Broa de Açúcar,banana
74989,38405599878,Plus,uva
80089,39656160800,Mes,uva
3749,32269915828,Plus,uva
31273,32145200835,Mes,maçã
98011,31824353880,Broa de Açúcar,pera
25376,38875632804,Plus,pera
26549,39639925810,Mes,banana
16888,39844500877,Broa de Açúcar,maçã
63967,34608848860,Broa de Açúcar,maçã
43519,34068772819,Broa de Açúcar,banana
32602,39080508802,Mes,uva
88133,32324073820,Broa de Açúcar,pera
91126,37540640880,Mes,maçã
10118,30494429801,Broa de Açúcar,banana
9595,39106522807,Broa de Açúcar,banana
8801,33325664822,Broa de Açúcar,banana
75607,33304169806,Mes,uva
97169,39878222870,Broa de Açúcar,maçã
51152,32459989881,Mes,pera
14810,32836494808,Mes,maçã
2687,30966062850,Broa de Açúcar,maçã
68337,35745115823,Broa de Açúcar,maçã
77497,34620896845,Plus,pera
49191,37083083878,Mes,pera
80832,32933350807,Broa de Açúcar,maçã
23646,37483373881,Mes,maçã
26697,38194757886,Mes,uva
95388,37380759841,Plus,pera
9875,32206448807,Broa de Açúcar,banana
21001,39118478824,Mes,maçã
78592,37891988897,Broa de Açúcar,banana
3334,36335825848,Broa de Açúcar,uva
84980,31914314891,Mes,uva
34986,31756562857,Broa de Açúcar,uva
78411,32858558868,Broa de Açúcar,banana
69584,31366147804,Mes,pera
72394,32479421813,Plus,pera
42870,36461999892,Broa de Açúcar,pera
74588,30228934850,Mes,banana
13595,39349746867,Mes,pera
77344,38023399837,Mes,banana
89809,38085196816,Broa de Açúcar,banana
29195,33324127874,Broa de Açúcar,maçã
35085,38452940866,Broa de Açúcar,pera
52870,39248397867,Broa de Açúcar,banana
78147,33576161813,Plus,uva
40203,30673452824,Broa de Açúcar,uva
88709,38643677868,Mes,banana
26697,38194757886,Plus,banana
2687,30966062850,Plus,uva
29195,33324127874,Plus,uva
63945,32825286800,Broa de Açúcar,uva
9239,38862226837,Broa de Açúcar,banana
44030,30263685802,Broa de Açúcar,uva
98011,31824353880,Mes,banana
41998,32447851820,Mes,banana
42417,38885995802,Mes,maçã
80832,32933350807,Mes,maçã
92362,32402738880,Plus,uva
93885,38766987822,Plus,pera
79387,33717499831,Mes,maçã
31273,32145200835,Plus,uva
81659,34014253821,Broa de Açúcar,banana
47497,34873296897,Broa de Açúcar,uva
50385,34177725838,Broa de Açúcar,uva
81659,34014253821,Mes,maçã
59760,34765846822,Broa de Açúcar,banana
40804,38278086850,Mes,maçã
70898,31497443857,Mes,banana
91336,33336928800,Broa de Açúcar,maçã
4327,33999128895,Plus,uva
21001,39118478824,Mes,uva
3507,36939052828,Mes,maçã
41998,32447851820,Broa de Açúcar,banana
94579,35094486853,Mes,uva
48879,33635232890,Broa de Açúcar,uva
83055,33463222892,Broa de Açúcar,banana
70219,30328179868,Broa de Açúcar,banana
44075,35645621840,Broa de Açúcar,pera
1736,34066997821,Plus,maçã
75607,33304169806,Mes,uva
81896,38686654800,Broa de Açúcar,maçã
48879,33635232890,Plus,uva
85219,30696790807,Plus,maçã
6347,30498059863,Mes,banana
98011,31824353880,Mes,banana
10118,30494429801,Broa de Açúcar,maçã
9956,39385543806,Plus,pera
78147,33576161813,Broa de Açúcar,uva
96822,32116965802,Broa de Açúcar,banana
72394,32479421813,Broa de Açúcar,uva
36817,31342477804,Mes,pera
68337,35745115823,Plus,uva
66319,31579980805,Mes,banana
76057,37880918868,Broa de Açúcar,uva
9875,32206448807,Plus,uva
4297,39179111831,Broa de Açúcar,banana
28035,35396027800,Plus,banana
61445,33392946826,Mes,banana
87806,30060398825,Mes,pera
11872,30621866822,Plus,uva
9875,32206448807,Mes,maçã
47497,34873296897,Plus,uva
43867,36366758859,Broa de Açúcar,uva
72394,32479421813,Broa de Açúcar,pera
21207,37506226804,Plus,banana
9239,38862226837,Plus,banana
67883,37049136859,Plus,pera
30988,36062870896,Plus,uva
43112,30248659855,Mes,pera
59678,37576241810,Plus,maçã
78147,33576161813,Plus,maçã
89055,30932083862,Broa de Açúcar,pera
99279,32817575881,Broa de Açúcar,pera
25386,31590098820,Broa de Açúcar,uva
2870,31966594887,Broa de Açúcar,banana
80832,32933350807,Broa de Açúcar,banana
78147,33576161813,Broa de Açúcar,uva
51483,33461325872,Plus,pera
43867,36366758859,Broa de Açúcar,uva
25386,31590098820,Broa de Açúcar,pera
26697,38194757886,Mes,maçã
28035,35396027800,Mes,pera
93885,38766987822,Broa de Açúcar,maçã
24898,38016404855,Broa de Açúcar,maçã
4297,39179111831,Plus,banana
99279,32817575881,Plus,uva
86193,37822157884,Broa de Açúcar,maçã
953,32255572850,Plus,maçã
44075,35645621840,Broa de Açúcar,maçã
70736,30552640883,Plus,maçã
99286,36772573870,Mes,banana
11872,30621866822,Broa de Açúcar,maçã
67435,30610304844,Broa de Açúcar,pera
15731,33887237889,Broa de Açúcar,uva
97438,32300383802,Broa de Açúcar,uva
40203,30673452824,Broa de Açúcar,pera
77497,34620896845,Broa de Açúcar,maçã
3507,36939052828,Plus,banana
9875,32206448807,Mes,pera
89184,34414924804,Broa de Açúcar,uva
42823,31642889806,Broa de Açúcar,uva
74989,38405599878,Broa de Açúcar,uva
21258,30749427892,Broa de Açúcar,uva
52870,39248397867,Broa de Açúcar,banana
63967,34608848860,Mes,pera
70898,31497443857,Plus,uva
65299,31145103880,Mes,pera
37909,31784022845,Mes,maçã
69189,38981208808,Plus,pera
86568,31867812800,Broa de Açúcar,uva
52870,39248397867,Broa de Açúcar,pera
64248,36158702803,Broa de Açúcar,banana
18946,37211459840,Broa de Açúcar,uva
25376,38875632804,Plus,pera
26697,38194757886,Plus,maçã
31115,34526179809,Plus,uva
4297,39179111831,Broa de Açúcar,maçã
6347,30498059863,Broa de Açúcar,banana
9956,39385543806,Plus,maçã
22857,36769458837,Mes,pera
86959,39675236833,Mes,maçã
56371,31742487874,Broa de Açúcar,banana
3290,36734187853,Plus,banana
91336,33336928800,Mes,banana
98173,33983357806,Mes,banana
41998,32447851820,Broa de Açúcar,banana
75607,33304169806,Mes,maçã
43112,30248659855,Broa de Açúcar,maçã
25386,31590098820,Broa de Açúcar,uva
9875,32206448807,Plus,banana
75607,33304169806,Mes,banana
84980,31914314891,Plus,pera
56371,31742487874,Broa de Açúcar,uva
37530,39655543870,Broa de Açúcar,pera
36413,30769095844,Plus,uva
44944,38760611804,Plus,pera
43519,34068772819,Mes,banana
45085,37860681862,Broa de Açúcar,pera
59760,34765846822,Plus,banana
2687,30966062850,Plus,banana
9239,38862226837,Plus,maçã
16888,39844500877,Mes,uva
85219,30696790807,Plus,pera
59760,34765846822,Mes,banana
77344,38023399837,Mes,maçã
70758,35378086825,Mes,maçã
65299,31145103880,Mes,banana
70736,30552640883,Plus,maçã
70758,35378086825,Mes,maçã
26549,39639925810,Mes,uva
18940,37660353802,Plus,banana
44030,30263685802,Plus,banana
68168,34761282886,Broa de Açúcar,banana
49191,37083083878,Plus,banana
92085,38617360801,Plus,pera
37909,31784022845,Broa de Açúcar,pera
90282,39490165891,Mes,uva
18567,39286103840,Plus,uva
74916,32699967807,Plus,banana
77344,38023399837,Mes,maçã
90282,39490165891,Plus,maçã
12635,36682522894,Mes,banana
91336,33336928800,Plus,banana
91663,36431803817,Plus,uva
42839,32561579808,Mes,uva
61445,33392946826,Plus,maçã
78411,32858558868,Mes,maçã
4684,33110482886,Broa de Açúcar,pera
42417,38885995802,Plus,pera
9239,38862226837,Mes,uva
80089,39656160800,Plus,pera
78411,32858558868,Broa de Açúcar,uva
99279,32817575881,Broa de Açúcar,maçã
78411,32858558868,Plus,uva
44075,35645621840,Mes,banana
92362,32402738880,Mes,maçã
953,32255572850,Plus,banana
78761,39375061876,Mes,banana
85219,30696790807,Plus,banana
43519,34068772819,Mes,pera
30404,38118937852,Broa de Açúcar,pera
15731,33887237889,Mes,banana
24898,38016404855,Mes,maçã
89055,30932083862,Plus,banana
49191,37083083878,Broa de Açúcar,uva
94458,35713381897,Broa de Açúcar,banana
26549,39639925810,Plus,pera
90402,32320910832,Mes,uva
63945,32825286800,Broa de Açúcar,uva
99279,32817575881,Broa de Açúcar,pera
93205,34731338840,Broa de Açúcar,banana
8334,31715435834,Mes,pera
96822,32116965802,Broa de Açúcar,maçã
43112,30248659855,Mes,maçã
92369,31620324822,Broa de Açúcar,maçã
77497,34620896845,Broa de Açúcar,pera
4684,33110482886,Plus,banana
99286,36772573870,Mes,pera
44247,34944588801,Broa de Açúcar,banana
15731,33887237889,Mes,pera
38929,32122083840,Plus,maçã
98107,31797190873,Mes,maçã
86959,39675236833,Plus,maçã
29195,33324127874,Broa de Açúcar,banana
4327,33999128895,Broa de Açúcar,maçã
68059,37126598815,Broa de Açúcar,maçã
65299,31145103880,Mes,uva
32906,35914511852,Plus,uva
953,32255572850,Plus,pera
70736,30552640883,Plus,banana
34986,31756562857,Broa de Açúcar,uva
4684,33110482886,Plus,maçã
25386,31590098820,Broa de Açúcar,maçã
21258,30749427892,Plus,maçã
1453,32698896825,Mes,banana
44377,34245454814,Broa de Açúcar,banana
15731,33887237889,Mes,uva
45085,37860681862,Broa de Açúcar,pera
8334,31715435834,Mes,uva
95919,33446371850,Mes,pera
29195,33324127874,Plus,maçã
56371,31742487874,Broa de Açúcar,pera
87805,38886668805,Broa de Açúcar,uva
76057,37880918868,Plus,pera
1736,34066997821,Plus,pera
94579,35094486853,Mes,uva
80876,30061162833,Plus,banana
85219,30696790807,Plus,banana
30404,38118937852,Plus,uva
57588,38232115874,Mes,pera
47315,39549708802,Plus,uva
75607,33304169806,Plus,pera
65713,32394632887,Plus,uva
95388,37380759841,Mes,pera
42417,38885995802,Broa de Açúcar,maçã
91663,36431803817,Plus,pera
8801,33325664822,Mes,uva
69189,38981208808,Broa de Açúcar,maçã
81659,34014253821,Mes,maçã
14810,32836494808,Mes,uva
3507,36939052828,Plus,maçã
2870,31966594887,Plus,pera
32602,39080508802,Plus,banana
92085,38617360801,Mes,banana
24881,37629570880,Mes,pera
67883,37049136859,Plus,uva
37909,31784022845,Mes,maçã
94579,35094486853,Broa de Açúcar,banana
76057,37880918868,Plus,uva
22857,36769458837,Mes,pera
48879,33635232890,Mes,banana
32602,39080508802,Broa de Açúcar,uva
79460,36021575806,Broa de Açúcar,banana
96822,32116965802,Plus,maçã
26697,38194757886,Plus,maçã
69584,31366147804,Plus,pera
23646,37483373881,Broa de Açúcar,uva
5355,33826444876,Broa de Açúcar,uva
3334,36335825848,Mes,uva
4297,39179111831,Broa de Açúcar,banana
87806,30060398825,Broa de Açúcar,maçã
30988,36062870896,Plus,maçã
31115,34526179809,Plus,pera
78147,33576161813,Broa de Açúcar,pera
32602,39080508802,Broa de Açúcar,uva
44944,38760611804,Mes,banana
11872,30621866822,Mes,pera
78592,37891988897,Plus,uva
9875,32206448807,Plus,pera
77344,38023399837,Broa de Açúcar,uva
32602,39080508802,Mes,pera
21002,35471853865,Mes,uva
74989,38405599878,Mes,uva
83055,33463222892,Mes,banana
70758,35378086825,Mes,banana
2687,30966062850,Plus,maçã
98011,31824353880,Mes,pera
41998,32447851820,Mes,banana
24881,37629570880,Plus,maçã
70758,35378086825,Broa de Açúcar,maçã
16158,32294129822,Broa de Açúcar,banana
41092,35535533831,Broa de Açúcar,pera
22890,30270309810,Broa de Açúcar,pera
52232,39956187828,Plus,maçã
78592,37891988897,Plus,uva
91126,37540640880,Plus,maçã
21002,35471853865,Broa de Açúcar,uva
61445,33392946826,Mes,maçã
42417,38885995802,Plus,pera
32602,39080508802,Plus,maçã
43118,30955837880,Mes,maçã
42839,32561579808,Mes,banana
16888,39844500877,Broa de Açúcar,maçã
18946,37211459840,Plus,pera
78147,33576161813,Broa de Açúcar,pera
4297,39179111831,Plus,banana
74588,30228934850,Plus,maçã
47377,32601669802,Mes,uva
43519,34068772819,Mes,maçã
91663,36431803817,Mes,maçã
67006,31771576855,Mes,banana
59678,37576241810,Plus,banana
47377,32601669802,Broa de Açúcar,maçã
21001,39118478824,Broa de Açúcar,pera
37909,31784022845,Mes,banana
84524,36135911899,Broa de Açúcar,uva
57588,38232115874,Mes,maçã
74751,31037015860,Plus,banana
98011,31824353880,Broa de Açúcar,uva
89809,38085196816,Broa de Açúcar,maçã
99279,32817575881,Plus,uva
11872,30621866822,Mes,pera
75528,30403874807,Mes,maçã
9875,32206448807,Mes,pera
91336,33336928800,Plus,uva
35085,38452940866,Broa de Açúcar,maçã
99279,32817575881,Mes,uva
10118,30494429801,Broa de Açúcar,pera
47315,39549708802,Broa de Açúcar,banana
59760,34765846822,Broa de Açúcar,maçã
77344,38023399837,Mes,banana
3749,32269915828,Broa de Açúcar,uva
2870,31966594887,Mes,uva
79460,36021575806,Plus,maçã
6347,30498059863,Broa de Açúcar,pera
98173,33983357806,Broa de Açúcar,uva
72394,32479421813,Mes,uva
80832,32933350807,Broa de Açúcar,maçã
77344,38023399837,Broa de Açúcar,banana
4684,33110482886,Mes,maçã
16158,32294129822,Plus,maçã
57588,38232115874,Broa de Açúcar,banana
58335,30892507802,Plus,pera
12635,36682522894,Plus,pera
87310,39092652865,Plus,uva
11872,30621866822,Mes,uva
16888,39844500877,Mes,uva
78147,33576161813,Mes,uva
34447,32241633801,Mes,maçã
3749,32269915828,Plus,uva
3749,32269915828,Broa de Açúcar,maçã
29899,31567093876,Mes,maçã
24881,37629570880,Mes,uva
32602,39080508802,Mes,pera
88133,32324073820,Plus,uva
78592,37891988897,Mes,pera
57588,38232115874,Mes,uva
14810,32836494808,Mes,pera
43112,30248659855,Plus,maçã
42839,32561579808,Plus,uva
74588,30228934850,Plus,uva
16888,39844500877,Mes,maçã
3749,32269915828,Broa de Açúcar,banana
22890,30270309810,Mes,pera
98435,31612130844,Plus,uva
97438,32300383802,Broa de Açúcar,maçã
953,32255572850,Broa de Açúcar,uva
40203,30673452824,Mes,uva
86193,37822157884,Mes,pera
84980,31914314891,Plus,uva
83055,33463222892,Broa de Açúcar,pera
95388,37380759841,Mes,maçã
44075,35645621840,Broa de Açúcar,maçã
81659,34014253821,Broa de Açúcar,uva
25376,38875632804,Plus,pera
38929,32122083840,Broa de Açúcar,pera
98107,31797190873,Plus,uva
57588,38232115874,Mes,banana
22890,30270309810,Mes,banana
3334,36335825848,Plus,maçã
42417,38885995802,Mes,maçã
13161,32162287897,Plus,maçã
59678,37576241810,Broa de Açúcar,banana
72394,32479421813,Broa de Açúcar,maçã
29899,31567093876,Mes,uva
95919,33446371850,Broa de Açúcar,pera
22890,30270309810,Broa de Açúcar,maçã
59678,37576241810,Broa de Açúcar,maçã
75607,33304169806,Plus,banana
4327,33999128895,Plus,uva
81896,38686654800,Plus,pera
92341,31106185838,Plus,pera
86568,31867812800,Plus,maçã
92369,31620324822,Broa de Açúcar,uva
81659,34014253821,Mes,banana
69584,31366147804,Mes,banana
35085,38452940866,Plus,pera
98107,31797190873,Mes,maçã
42417,38885995802,Plus,uva
83055,33463222892,Mes,maçã
75528,30403874807,Broa de Açúcar,uva
80832,32933350807,Mes,pera
96822,32116965802,Broa de Açúcar,banana
9956,39385543806,Mes,uva
75528,30403874807,Mes,uva
88709,38643677868,Mes,maçã
87806,30060398825,Mes,uva
953,32255572850,Plus,maçã
45085,37860681862,Plus,uva
91126,37540640880,Broa de Açúcar,banana
41998,32447851820,Mes,banana
95846,31695687876,Broa de Açúcar,banana
67006,31771576855,Broa de Açúcar,maçã
3334,36335825848,Broa de Açúcar,banana
15731,33887237889,Broa de Açúcar,pera
92085,38617360801,Broa de Açúcar,banana
84524,36135911899,Broa de Açúcar,uva
49191,37083083878,Mes,pera
61445,33392946826,Plus,banana
86193,37822157884,Plus,maçã
86568,31867812800,Broa de Açúcar,uva
97438,32300383802,Plus,uva
86959,39675236833,Broa de Açúcar,banana
81659,34014253821,Broa de Açúcar,pera
21868,32101997878,Plus,maçã
51152,32459989881,Broa de Açúcar,uva
29899,31567093876,Mes,uva
86568,31867812800,Mes,pera
45007,31037723864,Mes,pera
67006,31771576855,Plus,banana
9875,32206448807,Broa de Açúcar,uva
24898,38016404855,Broa de Açúcar,uva
75607,33304169806,Plus,maçã
66319,31579980805,Plus,pera
70758,35378086825,Plus,pera
99286,36772573870,Broa de Açúcar,banana
41156,31795880805,Plus,banana
45007,31037723864,Plus,maçã
93885,38766987822,Mes,uva
95846,31695687876,Broa de Açúcar,maçã
92085,38617360801,Plus,banana
42870,36461999892,Mes,pera
5355,33826444876,Broa de Açúcar,maçã
37909,31784022845,Mes,uva
78411,32858558868,Plus,maçã
3749,32269915828,Broa de Açúcar,pera
67909,30462465870,Mes,banana
74588,30228934850,Mes,maçã
52870,39248397867,Mes,uva
79387,33717499831,Broa de Açúcar,uva
4587,30617411867,Broa de Açúcar,banana
45085,37860681862,Plus,uva
41156,31795880805,Mes,uva
9595,39106522807,Broa de Açúcar,banana
91336,33336928800,Broa de Açúcar,uva
1453,32698896825,Broa de Açúcar,maçã
63967,34608848860,Mes,pera
79387,33717499831,Broa de Açúcar,banana
21207,37506226804,Broa de Açúcar,uva
58775,30083792813,Broa de Açúcar,banana
75607,33304169806,Broa de Açúcar,pera
58775,30083792813,Plus,pera
89184,34414924804,Plus,banana
38347,35113200891,Broa de Açúcar,banana
47315,39549708802,Mes,maçã
43118,30955837880,Mes,uva
3507,36939052828,Mes,maçã
89055,30932083862,Plus,maçã
11872,30621866822,Plus,banana
67006,31771576855,Plus,maçã
94458,35713381897,Mes,uva
89055,30932083862,Broa de Açúcar,banana
92369,31620324822,Plus,maçã
79460,36021575806,Mes,uva
80876,30061162833,Mes,uva
41092,35535533831,Broa de Açúcar,uva
59760,34765846822,Broa de Açúcar,uva
12635,36682522894,Plus,maçã
37978,35618351803,Plus,pera
34986,31756562857,Mes,pera
69584,31366147804,Plus,banana
4684,33110482886,Plus,maçã
12635,36682522894,Plus,banana
76057,37880918868,Broa de Açúcar,uva
49191,37083083878,Broa de Açúcar,uva
58292,36094762819,Plus,maçã
91663,36431803817,Broa de Açúcar,banana
65299,31145103880,Mes,banana
92369,31620324822,Plus,pera
77344,38023399837,Plus,maçã
87805,38886668805,Mes,pera
15731,33887237889,Broa de Açúcar,uva
9956,39385543806,Mes,pera
953,32255572850,Plus,pera
34986,31756562857,Mes,banana
69584,31366147804,Broa de Açúcar,uva
88133,32324073820,Plus,pera
61445,33392946826,Broa de Açúcar,uva
90603,38922839821,Mes,banana
84980,31914314891,Plus,pera
86959,39675236833,Mes,banana
79387,33717499831,Plus,maçã
42417,38885995802,Mes,banana
22890,30270309810,Mes,maçã
90282,39490165891,Broa de Açúcar,pera
29899,31567093876,Broa de Açúcar,pera
3334,36335825848,Plus,banana
92085,38617360801,Broa de Açúcar,banana
87310,39092652865,Broa de Açúcar,pera
44944,38760611804,Plus,banana
30404,38118937852,Broa de Açúcar,uva
16888,39844500877,Broa de Açúcar,maçã
9875,32206448807,Plus,maçã
24898,38016404855,Plus,banana
21002,35471853865,Broa de Açúcar,maçã
38929,32122083840,Mes,pera
29899,31567093876,Mes,uva
21001,39118478824,Broa de Açúcar,maçã
36413,30769095844,Mes,banana
65713,32394632887,Mes,uva
47497,34873296897,Mes,banana
81659,34014253821,Plus,banana
84524,36135911899,Mes,uva
98173,33983357806,Mes,banana
4327,33999128895,Plus,maçã
74916,32699967807,Mes,uva
86959,39675236833,Plus,banana
1736,34066997821,Plus,maçã
29195,33324127874,Mes,maçã
80876,30061162833,Mes,uva
63945,32825286800,Plus,pera
21001,39118478824,Plus,uva
88133,32324073820,Broa de Açúcar,pera
68168,34761282886,Broa de Açúcar,banana
98213,34042844880,Broa de Açúcar,pera
29195,33324127874,Mes,maçã
75607,33304169806,Plus,pera
89809,38085196816,Mes,pera
58292,36094762819,Plus,banana
16888,39844500877,Plus,banana
72394,32479421813,Mes,maçã
48879,33635232890,Mes,uva
21258,30749427892,Mes,maçã
3290,36734187853,Mes,banana
67919,32474360816,Broa de Açúcar,pera
98107,31797190873,Mes,pera
69189,38981208808,Mes,maçã
41998,32447851820,Broa de Açúcar,banana
41092,35535533831,Broa de Açúcar,uva
67919,32474360816,Mes,uva
84524,36135911899,Mes,maçã
98435,31612130844,Broa de Açúcar,banana
43112,30248659855,Broa de Açúcar,maçã
26549,39639925810,Plus,pera
32906,35914511852,Plus,banana
70898,31497443857,Broa de Açúcar,uva
79387,33717499831,Broa de Açúcar,banana
9595,39106522807,Broa de Açúcar,banana
35085,38452940866,Broa de Açúcar,maçã
3290,36734187853,Plus,maçã
86193,37822157884,Mes,banana
37978,35618351803,Plus,pera
42839,32561579808,Broa de Açúcar,maçã
87806,30060398825,Plus,uva
81659,34014253821,Plus,maçã
79387,33717499831,Broa de Açúcar,maçã
59678,37576241810,Mes,maçã
98107,31797190873,Mes,uva
18940,37660353802,Plus,maçã
90282,39490165891,Broa de Açúcar,uva
14810,32836494808,Mes,banana
98011,31824353880,Plus,banana
4327,33999128895,Mes,pera
6347,30498059863,Broa de Açúcar,uva
37978,35618351803,Broa de Açúcar,maçã
44075,35645621840,Broa de Açúcar,banana
80832,32933350807,Plus,pera
88709,38643677868,Plus,maçã
41156,31795880805,Mes,uva
81896,38686654800,Broa de Açúcar,banana
79460,36021575806,Broa de Açúcar,pera
28035,35396027800,Plus,banana
69584,31366147804,Broa de Açúcar,uva
47497,34873296897,Mes,banana
3290,36734187853,Mes,banana
30404,38118937852,Mes,banana
84980,31914314891,Broa de Açúcar,uva
51483,33461325872,Plus,maçã
93205,34731338840,Plus,maçã
98435,31612130844,Mes,uva
4297,39179111831,Plus,banana
43112,30248659855,Mes,banana
1736,34066997821,Broa de Açúcar,banana
87806,30060398825,Broa de Açúcar,pera
30404,38118937852,Plus,banana
36413,30769095844,Mes,uva
3881,35968655810,Mes,maçã
47377,32601669802,Plus,uva
9875,32206448807,Plus,pera
67909,30462465870,Plus,uva
42417,38885995802,Mes,pera
70758,35378086825,Broa de Açúcar,pera
81659,34014253821,Mes,maçã
37909,31784022845,Broa de Açúcar,uva
31273,32145200835,Plus,pera
36413,30769095844,Plus,pera
93205,34731338840,Plus,pera
78411,32858558868,Mes,banana
21002,35471853865,Mes,maçã
74916,32699967807,Broa de Açúcar,uva
25386,31590098820,Mes,maçã
42417,38885995802,Mes,maçã
9875,32206448807,Mes,banana
70219,30328179868,Plus,banana
3334,36335825848,Mes,pera
4684,33110482886,Plus,maçã
98173,33983357806,Mes,maçã
75528,30403874807,Broa de Açúcar,banana
91126,37540640880,Plus,maçã
37530,39655543870,Mes,uva
21389,38471069881,Mes,maçã
92369,31620324822,Broa de Açúcar,uva
99279,32817575881,Plus,maçã
78411,32858558868,Mes,pera
3507,36939052828,Broa de Açúcar,banana
75607,33304169806,Plus,uva
97438,32300383802,Mes,pera
26549,39639925810,Mes,banana
67919,32474360816,Broa de Açúcar,pera
87806,30060398825,Plus,uva
76860,35584519880,Broa de Açúcar,uva
21002,35471853865,Plus,maçã
68168,34761282886,Mes,pera
86568,31867812800,Plus,uva
74588,30228934850,Broa de Açúcar,maçã
12635,36682522894,Broa de Açúcar,banana
67883,37049136859,Broa de Açúcar,maçã
41998,32447851820,Mes,maçã
21868,32101997878,Mes,uva
3749,32269915828,Plus,uva
30404,38118937852,Plus,pera
37909,31784022845,Plus,banana
87805,38886668805,Mes,uva
77344,38023399837,Broa de Açúcar,maçã
59678,37576241810,Broa de Açúcar,pera
47315,39549708802,Mes,uva
72394,32479421813,Mes,banana
99279,32817575881,Plus,pera
87806,30060398825,Mes,uva
88133,32324073820,Broa de Açúcar,pera
98173,33983357806,Broa de Açúcar,banana
15731,33887237889,Plus,maçã
92085,38617360801,Broa de Açúcar,pera
8801,33325664822,Mes,uva
5355,33826444876,Plus,maçã
92893,33793904881,Broa de Açúcar,uva
4297,39179111831,Mes,pera
12635,36682522894,Plus,uva
30988,36062870896,Mes,pera
81659,34014253821,Broa de Açúcar,maçã
29195,33324127874,Broa de Açúcar,pera
42951,34413526880,Broa de Açúcar,banana
98435,31612130844,Plus,maçã
56371,31742487874,Mes,uva
12635,36682522894,Broa de Açúcar,uva
95919,33446371850,Broa de Açúcar,maçã
87806,30060398825,Plus,banana
47315,39549708802,Broa de Açúcar,maçã
3507,36939052828,Plus,uva
3334,36335825848,Plus,pera
4587,30617411867,Broa de Açúcar,pera
59760,34765846822,Plus,banana
9875,32206448807,Broa de Açúcar,pera
3290,36734187853,Broa de Açúcar,banana
42951,34413526880,Mes,maçã
74989,38405599878,Plus,uva
